yorum,aspect,sentiment
Aldığıma en pişman olduğum ürün resmen ya. Tamamen satıcısından kaynaklı bir durum almak isteyen gitsin mağazadan alsın. Alalı 2 ay olmadan karşıya sesi iletmem,genel,negatif
Aldığıma en pişman olduğum ürün resmen ya. Tamamen satıcısından kaynaklı bir durum almak isteyen gitsin mağazadan alsın. Alalı 2 ay olmadan karşıya sesi iletmem,ses_goruntu,notr
Aldığıma pişmanım bas yok!   3 yıl önce satın aldığım Qcy T 17 marka kullanıyordum kaybolunca bunu satın aldım ama?,genel,negatif
Aldığıma pişmanım bas yok!   3 yıl önce satın aldığım Qcy T 17 marka kullanıyordum kaybolunca bunu satın aldım ama?,ses_goruntu,negatif
"Aldığımda garantisinin bitmesine 10 ay vardı,orijinal olduğunu düşündüğüm için ve her gün zam yediği için iade etmedim.Firmaya ulaşamadım",kalite,pozitif
Aldığımda sorunsuz kullandım bir süre ama bilgisayarıma bağlanmadı o yüzden iade ettim bence direkt gidip almak daha sağlıklı,genel,negatif
"Almadan önce bu kadar ihtiyacım olduğunu bilmiyordum🙃 Aşırı kullanışlı, bağlantı kopmuyor ve çok yeterli. İyi ki almışım.",genel,pozitif
Apple kalitesi ne diyebiliriz ki süper. Anadolu lisesi kazanan yegenime hediye aldım çok iyi,kalite,pozitif
Apple’ın sevmediğim yanı bir ürününü alıyorsun eksikleri hiç bitmez…şarj kablosunu da bi zahmet kulaklıla üretip ayni kutuda yollasaydınız,genel,negatif
Aralık 2024 de aldığımda 4.445 tl fiyatındaydı neredeyse bir yıl olacak kullanışlı tabiiki ama kulağa iyi bir şekilde yerleşmiyor sürekli bir düşecek endişesi o,fiyat,pozitif
Aralık ayında alıyorum mayıstan başlatıyorsunuz garantiyi ne kadar saçma o zaman 2 yıl garanti demeyin 1 yıl 5 ay şuan garantim.,genel,negatif
Arama geldiğinde açılmıyor,genel,negatif
Arkadaşima hediye aldim cok güzel paketlemesi sağlam harika 🤩 bol kazançlar size,genel,pozitif
Arkadaşima hediye aldim cok güzel paketlemesi sağlam harika 🤩 bol kazançlar size,kalite,pozitif
Arkadaşima hediye aldim cok güzel paketlemesi sağlam harika 🤩 bol kazançlar size,ambalaj,pozitif
Arkadaşlar almayın sol kulağa oturdu ama sağa oturmadı airpods 2.nesil buna göre hem daha estetik hemde daha güzel oturuyordu kulakta artı kafa hareketleri çalı,genel,negatif
Arkadaşlar almayın sol kulağa oturdu ama sağa oturmadı airpods 2.nesil buna göre hem daha estetik hemde daha güzel oturuyordu kulakta artı kafa hareketleri çalı,kalite,pozitif
Artı yönleri ses kalitesi şarjı ve tasarımı eksi yönleri kesinlikle kulaktan düşüyor yürürken bile ara ara düzeltmek gerekiyor kablosuz şarjı desteklemiyor. Tam,batarya,negatif
Artı yönleri ses kalitesi şarjı ve tasarımı eksi yönleri kesinlikle kulaktan düşüyor yürürken bile ara ara düzeltmek gerekiyor kablosuz şarjı desteklemiyor. Tam,ses_goruntu,negatif
Asla bağlanmıyor resmen bağlansın diye kulaklığın keyfini bekliyoruz. alacak olanlara asla önermem,genel,negatif
Aynısı geldi,genel,notr
Aşırı kötü sesi o kadar çok az ki duymakta güçlük çekiyorum. iade ettim fakat iadem reddedildi ürünü bana geri göndereceklerini söylediler. tüketici haklarına ş,ses_goruntu,negatif
Babama almistim gayet guzeldi fakat 1 sene uztune bozuldu ve faturadan dolayi garantiyede kabul etmediler.,genel,negatif
Babama almistim gayet guzeldi fakat 1 sene uztune bozuldu ve faturadan dolayi garantiyede kabul etmediler.,kalite,negatif
Bana bozuk kulaklik satti ve 2 kez iade ettim bana kulaklik kutusunun degil icindeki kulakliklarin degistigini ilettiler 1 puan bile degil kesinlikle 0 almayin,genel,negatif
Bana bozuk kulaklik satti ve 2 kez iade ettim bana kulaklik kutusunun degil icindeki kulakliklarin degistigini ilettiler 1 puan bile degil kesinlikle 0 almayin,kalite,negatif
Bana bozuk kulaklik satti ve 2 kez iade ettim bana kulaklik kutusunun degil icindeki kulakliklarin degistigini ilettiler 1 puan bile degil kesinlikle 0 almayin,ambalaj,negatif
Bana geldiği tarihten 3 ay önce garanti süresi başlatılmış olarak geldi.,genel,negatif
Bass olarak iyi değil ama tasarım olarak harika,genel,pozitif
Bass olarak iyi değil ama tasarım olarak harika,ses_goruntu,negatif
Bayıldım bayıldım 🤩 kalitesi 😍 iyi ki almışım🥳 Bir avuç dolusu mutluluk 😁🥰,genel,pozitif
Bayıldım bayıldım 🤩 kalitesi 😍 iyi ki almışım🥳 Bir avuç dolusu mutluluk 😁🥰,kalite,pozitif
Bayıldım hem kalite hem orijinallik apple şaşırtmıyor ;),genel,pozitif
Bayıldım hem kalite hem orijinallik apple şaşırtmıyor ;),kalite,pozitif
Bayıldım ses tonlar mükemmel,genel,pozitif
Bayıldım ses tonlar mükemmel,ses_goruntu,pozitif
Bayıldım çok iyi  ses kalitesi gürültü önleme özelliği tam bi fiyat performansı bi ürün kaçırmayın 🙃,genel,pozitif
Bayıldım çok iyi  ses kalitesi gürültü önleme özelliği tam bi fiyat performansı bi ürün kaçırmayın 🙃,fiyat,pozitif
Bayıldım çok iyi  ses kalitesi gürültü önleme özelliği tam bi fiyat performansı bi ürün kaçırmayın 🙃,ses_goruntu,pozitif
Bağlantı sorunu oluyor arada..,genel,negatif
Bağlantıdan sürekli düşüyor! İadee!!!,genel,negatif
"Başarılı ürün, fiyat performans ürünü ses kalitesi malzeme kalitesi iyi 👍",kalite,pozitif
"Başarılı ürün, fiyat performans ürünü ses kalitesi malzeme kalitesi iyi 👍",fiyat,pozitif
"Başarılı ürün, fiyat performans ürünü ses kalitesi malzeme kalitesi iyi 👍",ses_goruntu,pozitif
Başarılı. Fiyat makul,fiyat,notr
Belki benle alakalı olabilir ama kulağıma büyük geldi,genel,notr
Ben aldıktan sonra fiyatı baya düştü,fiyat,negatif
Ben kulaklık değil haporlör almışım,genel,notr
Ben kulaklığımı alalı bir seneyi geçti fakat kutusu şarj almıyor %1 de kalıyor ne yapmam gerek,batarya,negatif
"Ben çok memnun kalmadım, sürekli kulağımdan düşüyor...",genel,negatif
Bence çok iyi şarj süresi 30 saat kullanım süresi mükemmel,genel,pozitif
Bence çok iyi şarj süresi 30 saat kullanım süresi mükemmel,batarya,pozitif
Beğendim hediye olarak almıştım. Güzel,genel,pozitif
"Bir aydır kullanıyorum, aldığım gün şarja taktım 1 ay boyunca kutuyu hiç şarj etmedim. Şarj konusunda oldukça başarılı.  Mikrofon konusunda hiç beğenmedim karşı",batarya,pozitif
"Bir aydır kullanıyorum, aldığım gün şarja taktım 1 ay boyunca kutuyu hiç şarj etmedim. Şarj konusunda oldukça başarılı.  Mikrofon konusunda hiç beğenmedim karşı",ses_goruntu,notr
Biraz bağlantısı sıkıntılı sesi de dışarıya veriyor fp ürünü,ses_goruntu,negatif
Biraz deniyim dedim sesi vs güzel ama şarjı 38 den 33 e düştü hemen normal mi bilmiyorum,batarya,negatif
Biraz deniyim dedim sesi vs güzel ama şarjı 38 den 33 e düştü hemen normal mi bilmiyorum,ses_goruntu,pozitif
Bozuk geldi ve servise git gel çok uğraştırdı hediye almıştım halbuki bir anlamı kalmadı,genel,negatif
Bozuk geldi ve servise git gel çok uğraştırdı hediye almıştım halbuki bir anlamı kalmadı,kalite,negatif
Bu kulaklığı ortalama 1 veya 2 ay önce aldım şuana kadar sorunsuz kullandım fakat bir anda sol kulaklık şarj almamaya başladı ve arada bir kutusuda şarja taktığ,batarya,negatif
Bu satıcıdan 2 kere aldım çok memnunum ürün kesinlikle orijinaldir,genel,pozitif
Bu satıcıdan 2 kere aldım çok memnunum ürün kesinlikle orijinaldir,kalite,pozitif
"Cok begendık,bence bes yıldızı hakedıyor",genel,pozitif
Cızıltı var iade ettim ve iademi reddettinizzz,genel,negatif
Daha önce kardeşime almıştım şimdi kendime aldım. Hızlı kargo ve sağlam paketleme. Teşekkürler,kargo,pozitif
Daha önce kardeşime almıştım şimdi kendime aldım. Hızlı kargo ve sağlam paketleme. Teşekkürler,kalite,pozitif
Daha önce kardeşime almıştım şimdi kendime aldım. Hızlı kargo ve sağlam paketleme. Teşekkürler,ambalaj,pozitif
Değer mi bilemedim ama ses kalitesi daha iyi,fiyat,notr
Değer mi bilemedim ama ses kalitesi daha iyi,ses_goruntu,pozitif
Direk kullandım çok memnunum kaldım tavsiye ederim herkese,genel,pozitif
"Dokunmatik ekranlı oldugu için kulağıma takıp çıkarırken veya kulağımdaki yerinden hafif hareket ettirmek istediğimde bazen sapıtıyo, onun dışında iyi",kalite,pozitif
"Dokunmatik ekranlı oldugu için kulağıma takıp çıkarırken veya kulağımdaki yerinden hafif hareket ettirmek istediğimde bazen sapıtıyo, onun dışında iyi",ses_goruntu,pozitif
Dışarı ses veriyor,ses_goruntu,negatif
Ekimde dolması gereken garantim nisan ayında bitti bu durumdan şikayetçiyim şuan airpodsum bozuldu ve tamir için para ödemek zorundayım her türlü yola başvuraca,genel,negatif
Ekimde dolması gereken garantim nisan ayında bitti bu durumdan şikayetçiyim şuan airpodsum bozuldu ve tamir için para ödemek zorundayım her türlü yola başvuraca,kalite,negatif
Ekimde dolması gereken garantim nisan ayında bitti bu durumdan şikayetçiyim şuan airpodsum bozuldu ve tamir için para ödemek zorundayım her türlü yola başvuraca,fiyat,negatif
Elime çok hızlı ulaştı gerçekten beğendim ses kalitesi de mükemmel,genel,pozitif
Elime çok hızlı ulaştı gerçekten beğendim ses kalitesi de mükemmel,ses_goruntu,pozitif
En kaliteli kullanışlı kulaklık herkese tavsiye ediyorum,genel,pozitif
En kaliteli kullanışlı kulaklık herkese tavsiye ediyorum,kalite,pozitif
En çok satan 1. Sırada oldugu için hiç düşünmeden sipariş vermiştim fakat sesi çok az veriyor çakma aplee almıştım 300 e o daha fazka veriyor arasında ciddi far,ses_goruntu,negatif
Ennnn büyük yardımcım harika valla alın sporda derste arabada çok büyük kolaylık,genel,pozitif
Erkek arkadaşım yıldönümü hediyesi olarak aldı çokk güzel,genel,pozitif
"Erkek arkadaşıma doğum günü hediyesi olarak aldım çok beğendi, orijinal ürün tek sorun yaşadığımız kısım garanti süresini yenileyememek oldu onun için destek ha",kalite,pozitif
Esime hediye aldim cok severek kullaniyor,genel,pozitif
Eski pods umu kaybettiğim için burdan aldım ama anlamadığım bir biçimde şarjı inanılmaz az gidiyor,batarya,notr
Eşime aldım gayet memnun,genel,pozitif
Eşime aldım çok beğendi Apple kalitesi tartışılmaz,kalite,notr
Eşime hediye aldım beğendik,genel,pozitif
Eşime hediye aldım çok beğendi,genel,pozitif
Fiyat performans,fiyat,pozitif
Fiyat performans alınabilir,fiyat,pozitif
Fiyat performans ürünü,fiyat,pozitif
Fiyat performans ürünü fena değil rüzgar sesini çok alıyor,fiyat,pozitif
Fiyat performans ürünü fena değil rüzgar sesini çok alıyor,ses_goruntu,pozitif
Fiyat performans ürünü kulağa takıldığında pek belli olmuyor dışarıdan bence bu yanı güzel ama dışarıya ses veriyor biraz olumsuz bir tarafı ona göre alacaklar,fiyat,pozitif
Fiyat performans ürünü kulağa takıldığında pek belli olmuyor dışarıdan bence bu yanı güzel ama dışarıya ses veriyor biraz olumsuz bir tarafı ona göre alacaklar,ses_goruntu,notr
Fiyat performansı olarak çok iyi,fiyat,pozitif
Fiyat zamminin yapildigi gun satin aldigim icin buyuk ihtimalle satici bana elindeki defolu urunu gonderdi. Sag kulaklik kulagindayken calmiyor sol kulaklik kut,kalite,negatif
Fiyat zamminin yapildigi gun satin aldigim icin buyuk ihtimalle satici bana elindeki defolu urunu gonderdi. Sag kulaklik kulagindayken calmiyor sol kulaklik kut,fiyat,negatif
Fiyatı bu kadar oynak olmamalı ben aldıktan sonra 300 lira düştü. 20 günde 900 lira fiyat fark ediyor. Trendyol birde kendisi satıyor. Yazık gerçekten.,fiyat,negatif
Fiyatına göre iyi ama ses çok çıkmıyor o durumu beğenmedim,fiyat,pozitif
Fiyatına göre iyi ama ses çok çıkmıyor o durumu beğenmedim,ses_goruntu,notr
Garanti konusunda sorun yaşadım ürünün garantisi aldığım tarihten 7 ay öncesinde başlamıştı sonrasında apple ile iletişime geçip düzelttirdim uğraştırdı biraz ş,genel,negatif
Garanti süresi aldığım tarihten daha kısa sürede bitiş gösteriyor ek garanti ise işlenmemiş daha 2 yılı dolmadan bitiş gösteriyor aldığınız tarihte fatura kesil,genel,negatif
Garanti süresi iki yol değil mi bugün elime ulaştı ürün garanti süresi 16 -11 -2024 te bitiyor gösteriyor. Bu durum için bir Yıldız verdim açıklama istiyorum,kargo,notr
Garantisi 01.06.2023 tarihinde başlamış gözüküyor. 4 ay garantimden oldum.,genel,negatif
Gayet güzel Orjinal ürün piyasaya göre fiyatı çok iyi,kalite,pozitif
Gayet güzel Orjinal ürün piyasaya göre fiyatı çok iyi,fiyat,pozitif
Gayet güzel beğeniyorum şarkı dinlemek için aldım yolda canım sıkılıyor malum İstanbul trafiği vatan satıcısından aldım ses kalitesi falan bayağı iyi bence vata,ses_goruntu,pozitif
Gayet güzel kızım için aldım çok beğendi,genel,pozitif
Gayet güzel ve minik. Kulak üstü kulaklıklarım çantalarıma sığmadığı için aldım. Ses kalitesi de güzel.,ses_goruntu,pozitif
Gayet hızlı geldi. Sevgilime aldım. Memnun kaldık teşekkür ederizz,genel,pozitif
Gayet hızlı geldi. Sevgilime aldım. Memnun kaldık teşekkür ederizz,kargo,pozitif
Gelen ürünün garantisi 6 ay görünüyor. Neden 24 ay olmadığını anlayamadım. Satıcı da asistan da sorunumla ilgilenmedi.,genel,negatif
Gercekten cok guzel kulaklik herkese tavsiye ederim kibar ve kulaga cok rahat oturuyor ses kaliteside cok guzel fiyat performans urunu,genel,pozitif
Gercekten cok guzel kulaklik herkese tavsiye ederim kibar ve kulaga cok rahat oturuyor ses kaliteside cok guzel fiyat performans urunu,fiyat,pozitif
Gercekten cok guzel kulaklik herkese tavsiye ederim kibar ve kulaga cok rahat oturuyor ses kaliteside cok guzel fiyat performans urunu,ses_goruntu,pozitif
Geri istiyorum :(,genel,negatif
Guzel ama disari ses veriyor bu kotu bence,ses_goruntu,negatif
Göründüğü gibi 3 günde geldi,genel,notr
Göründüğü gibi güzel ve kaliteli,kalite,pozitif
Güncel: ürünü iade aldılar ancli alıp ancsiz yolladıkları için.,genel,negatif
Günlük kulanım için aşırı ideal bir üründür ayrıca kulanım süresi olarak da gayet yeterli bi düzeydedir 4g jarz a takmadığım olmuştur bi kulaklığa göre gayet iy,genel,notr
Güzel beğendim sağlam geldi,genel,pozitif
Güzel beğendim sağlam geldi,kalite,pozitif
Güzel büyük kolaylık ve kablolu kulaklıktan sonra ses kalitesi muazzam ama sanki hızlı şarjı bitiyor,batarya,negatif
Güzel büyük kolaylık ve kablolu kulaklıktan sonra ses kalitesi muazzam ama sanki hızlı şarjı bitiyor,ses_goruntu,pozitif
Güzel fakat ürün anlamadığım şekilde çok hızlı şekilde çizildi arada sırada cızırtı geliyor,ses_goruntu,negatif
Güzel fiyatına göre,fiyat,pozitif
Güzel güvenilir satıcı,genel,pozitif
Güzel güzel,genel,pozitif
Güzel paketlenmişti fakat seri numarasını sorgulatınca garantisinin 13 ay kaldığını öğrendiğim için iadeye gönderdim,ambalaj,pozitif
Güzel çok beğendim ses kalitesi falan çok iyi,genel,pozitif
Güzel çok beğendim ses kalitesi falan çok iyi,ses_goruntu,pozitif
HIZLI KARGO İÇİN ÇOK TEŞEKKÜR EDERİM,kargo,pozitif
Harika bayıldım sevgilime aldım,genel,pozitif
Harika orijinal ürün güvenerek alabilirsiniz,genel,pozitif
Harika orijinal ürün güvenerek alabilirsiniz,kalite,pozitif
Harika ötesi gerçekten çok beğendim ses kalitesi ve minimalliği ile tam benlik ayrıca Trendyol’a ve Vatan teşekkür ederim,genel,pozitif
Harika ötesi gerçekten çok beğendim ses kalitesi ve minimalliği ile tam benlik ayrıca Trendyol’a ve Vatan teşekkür ederim,ses_goruntu,pozitif
Harika ürün ses kalitesi gürültü önleme özelliği ile tam bir performans ürün,genel,pozitif
Harika ürün ses kalitesi gürültü önleme özelliği ile tam bir performans ürün,ses_goruntu,pozitif
Hediye aldım durduk yere şarjı bitiyo,batarya,negatif
Hediye aldım çok beğenildi ses kalitesi çok iyi paketleme güzeldi,ses_goruntu,pozitif
Hediye aldım çok beğenildi ses kalitesi çok iyi paketleme güzeldi,ambalaj,pozitif
Hediye olarak aldim o yuzden acamadim kargolama hizi guzeldi trendyola guveniyorum,kargo,pozitif
Hediye olarak aldım kendim de aynı ürünü kullanıyorum gayet memnunum,genel,pozitif
Hediye olarak aldım çok beğenildi bir günde sapasağlam elime ulaştı,kargo,notr
Hep öneri alıyordum şimdis kendim aldım harika ürün,genel,pozitif
Hiç güzel değil bağlanmıyor bile şikayetçi olucam bozuk ürün gönderiyorlar,genel,negatif
Hiç güzel değil bağlanmıyor bile şikayetçi olucam bozuk ürün gönderiyorlar,kalite,negatif
Hiç tereddütsüz alabılırsınız ses kalitesı de çok ıyı,genel,pozitif
Hiç tereddütsüz alabılırsınız ses kalitesı de çok ıyı,ses_goruntu,pozitif
