yorum,aspect,sentiment
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,ambalaj,pozitif
Ürünü aldıktan kısa süre sonra ciddi bir indirime girdi ve taksit sayısı arttırıldı. Keşke o kampanyaya denk gelseydik.,fiyat,negatif
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kargo,pozitif
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kalite,negatif
"Bu ürünü bir yıl kullandıktan sonra söyleyebilirim ki, ürün gerçekten çok iyi ve satın aldığıma asla pişman olmadım",genel,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,genel,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,ambalaj,pozitif
Çok çok güzel torunum için aldım harika spriz oldu çok beğenildi teşekkürler,genel,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),kalite,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),genel,pozitif
BİLGİSİYARA GÜZLİLK DEFA İNTERNETEN CESARET EDİP ALDIM MEMNUNUM,genel,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,genel,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,ambalaj,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,kargo,pozitif
çok beğendim o kdr hafif ve güzel ki klavyesi de muhteşem,genel,pozitif
Çok güzel bir bilgisayar çok beğendim. İstediğiniz yere çok rahat taşıyabilirsiniz,genel,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,ambalaj,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,genel,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,kargo,pozitif
Çok beğendik ihtiyacı olanı tavsifeye ederim 😊,genel,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,genel,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,kargo,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,genel,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,batarya,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,kalite,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,genel,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,batarya,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,ambalaj,pozitif
Çok çok güzel çok beğenerek almıştım zaten boyutu diğer bilgisayarlara göre biraz küçük olsa da ben kendime göre yeterli buluyorum çok pratik ve çok güzel,genel,pozitif
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,kargo,pozitif
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,ambalaj,pozitif
"Arkadaşlar cidden çok güzel, rengi konusunda silver ile arasında kalmıştım ama iyi ki bu rengi seçmişim",genel,pozitif
Mükemmel bir şey okul için kullanacağım,genel,pozitif
cok güzel kardeşime hediye aldım çok mutlu oldu,genel,pozitif
Çok kibar çok güzel ürün. Yazılım öğrencisi olarak almak istedim...,genel,pozitif
Tam istediğim gibi geldi herkese tavsiye ediyorum,genel,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,genel,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,kalite,pozitif
"çok beğendim, kesinlikle tavsiye ederim. şimdilik bir sorun yok gibi geldi çok teşekkür ederim :)",genel,pozitif
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,ambalaj,pozitif
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,genel,pozitif
Çok hızlı ve sorunsuz bir şekilde elime ulaştı teşekkür ederim,kargo,pozitif
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,batarya,pozitif
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,genel,pozitif
Çok kullanışlı ve benim için yeterli bi bilgisayar okul için ideal ama iş için bilemiyorum,genel,pozitif
ürün gayet güzel ve kullanışlı severek kullanıyorum,genel,pozitif
Çok memnunuz sorunsuz,genel,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,kargo,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,genel,pozitif
Araştırarak aldım.Kullanış açısından telefonumla uyumu açısından kolaylık sağlayacağını düşündüğüm için tercih ettim.,genel,notr
Gerçekten çok kullanışlı tasarımına falan bayıldım,genel,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,kargo,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,genel,pozitif
Çok teşekkürler çok beğendim çok memnun kaldım,genel,pozitif
Günlük işlerim için dijital marketing için aldım gayet güzel satıcı da iyi,genel,pozitif
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",kargo,pozitif
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",genel,pozitif
harika sorunsuz ulaştı,genel,pozitif
harika sorunsuz ulaştı,kargo,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,genel,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,kargo,pozitif
Çok güzel cihaz memnunum normalden uygun fiyata aldım,genel,pozitif
Çok güzel cihaz memnunum normalden uygun fiyata aldım,fiyat,pozitif
Çok hızlı geldi çok memnunum,kargo,pozitif
Çok hızlı geldi çok memnunum,genel,pozitif
her zamanki gibi troy kalitesi çok teşekkür ediyorum,kalite,pozitif
Hafifliği inceliği ve taşınabilir olması sebebiyle MacBook’a geçiş yaptım gayet memnunum,genel,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,kargo,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,genel,pozitif
kizim için aldım çok memnun,genel,pozitif
oğlum için aldım çok memnun,genel,pozitif
çok beğendim. apple bilgisayar için son derece ekonomik ve kullanışlı bir bilgisayar...,genel,pozitif
çok beğendim. apple bilgisayar için son derece ekonomik ve kullanışlı bir bilgisayar...,fiyat,pozitif
"Mükemmel, renk güzel,kargo hızlıydı teşekkürler",genel,pozitif
"Mükemmel, renk güzel,kargo hızlıydı teşekkürler",kargo,pozitif
MacBook kalitesi harika,kalite,pozitif
Sorunsuz bir şekilde elimize ulaştı teşekkürler trendyol,kargo,pozitif
yaptığım ilk şey sims yüklemek oldu çok hızlı fan sesi çıkaran 30 kilo eski bilgisayarımdan sonra çok iyi geldi,genel,pozitif
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,genel,pozitif
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,ambalaj,pozitif
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,kargo,pozitif
çok incecik ve çok kullanışlı zamanında teslimat teşekurler,genel,pozitif
çok incecik ve çok kullanışlı zamanında teslimat teşekurler,kargo,pozitif
Gayet güvenilir ve uygun fiyatlı aldım 10 aydır kullanıyorum teşekkürler,fiyat,pozitif
Gayet güvenilir ve uygun fiyatlı aldım 10 aydır kullanıyorum teşekkürler,genel,pozitif
Sorunsuz geldii çok hoşş 🥰,kargo,pozitif
Sorunsuz geldii çok hoşş 🥰,genel,pozitif
Paketlemesini çok iyiydi sorunsuz elime ulaştı çok tereddütt etmiştim...,ambalaj,pozitif
Paketlemesini çok iyiydi sorunsuz elime ulaştı çok tereddütt etmiştim...,kargo,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,ambalaj,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,kargo,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,genel,pozitif
aşırı güzel apple kalitesini hicbir seye değişmem ben bi sıkıntı yasamadım garanti konusunda vs sadece dizi ve video izlemek icin kullanıyorum,genel,pozitif
aşırı güzel apple kalitesini hicbir seye değişmem ben bi sıkıntı yasamadım garanti konusunda vs sadece dizi ve video izlemek icin kullanıyorum,kalite,pozitif
Çok begendim ince kullanışlı kesinlikle alın kaliteli,genel,pozitif
Çok begendim ince kullanışlı kesinlikle alın kaliteli,kalite,pozitif
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,ambalaj,pozitif
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,kalite,pozitif
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,kargo,pozitif
çok kullanışlı kalite çok begendim aşırı iyi,genel,pozitif
çok kullanışlı kalite çok begendim aşırı iyi,kalite,pozitif
Kutusunda çok güzel geldi ve orjinal çok teşekkürler trendyol💐,ambalaj,pozitif
Kutusunda çok güzel geldi ve orjinal çok teşekkürler trendyol💐,genel,pozitif
Sorunsuz alışveriş. Laptop zaten mükemmel.,genel,pozitif
Ablama doğum günü hediyesi olarak aldım çok mutlu oldu sorunsuz geldi paketleme güzeldi,kargo,pozitif
Ablama doğum günü hediyesi olarak aldım çok mutlu oldu sorunsuz geldi paketleme güzeldi,ambalaj,pozitif
🍏Severek kullanıyoruz.,genel,pozitif
Elime sorunsuz ulaştı hızlı kargo ve paketlenmesi çok iyiydi,kargo,pozitif
Elime sorunsuz ulaştı hızlı kargo ve paketlenmesi çok iyiydi,ambalaj,pozitif
İlk defa MacBook kullanıyorum. Çok beğendim. Çok hızlı ve Premium hissettiriyor...,genel,pozitif
"İlk apple bilgisayarım, piyasada 22k iken 18.5e aldım trendyol satıcısından...",fiyat,pozitif
"İlk apple bilgisayarım, piyasada 22k iken 18.5e aldım trendyol satıcısından...",genel,pozitif
everyone garantisinde sıkıntı yaşamış ama ben hiçbir şekilde sıkıntı yaşamadım...,genel,pozitif
"Babamın özür hediyesiydi, paketleme iyiydi ürüne zaten diyecek bir şey yok çok güzel.",ambalaj,pozitif
"Babamın özür hediyesiydi, paketleme iyiydi ürüne zaten diyecek bir şey yok çok güzel.",genel,pozitif
Beğendim satıcının paketlemesi de iyiydi,genel,pozitif
Beğendim satıcının paketlemesi de iyiydi,ambalaj,pozitif
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,batarya,pozitif
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,kalite,pozitif
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,genel,notr
Hayatımda aldığım en en doğru karar mac almakkk çok memnunummm,genel,pozitif
En uygun buradaydi. Ancak garanti tarihi eylülde almama ragmen...,fiyat,pozitif
En uygun buradaydi. Ancak garanti tarihi eylülde almama ragmen...,genel,negatif
Çok iyi oğluma aldım,genel,pozitif
Hasarsız mükemmel paketleme ile geldi,kargo,pozitif
Hasarsız mükemmel paketleme ile geldi,ambalaj,pozitif
Çok iyi ve kullanışlı bir ürün,genel,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,genel,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,ses_goruntu,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,kargo,pozitif
çok memnunum,genel,pozitif
Ürün gayet iyi çok güzel geldi :),genel,pozitif
Ürün gayet iyi çok güzel geldi :),kargo,pozitif
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,genel,pozitif
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,kargo,pozitif
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,ambalaj,pozitif
Muazzam bir ürün trendyoldan en uygun fiyata aldım sorgulattım ürün orijinal bir sıkıntısı yok çok beğendim,genel,pozitif
Muazzam bir ürün trendyoldan en uygun fiyata aldım sorgulattım ürün orijinal bir sıkıntısı yok çok beğendim,fiyat,pozitif
Hızlı ve sorunsuz ulaştı,kargo,pozitif
aşığımmm bilgisayarıma inanılmaz rahat,genel,pozitif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",genel,negatif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",batarya,negatif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",ambalaj,pozitif
Sadece internette gezmek için alacaksanız alın. Herhangi bir program yüklenemiyor...,genel,notr
berbst kağnı,genel,negatif
arkadaşlar ürün bozuk geri gönderdim gene bana gönderdiler...,kalite,negatif
arkadaşlar ürün bozuk geri gönderdim gene bana gönderdiler...,genel,negatif
ürünü aldım ama işlemci düşük sadece ofis işleri için idare eder.,genel,notr
"google de sekmeler açtığınızda birden cok , hemen kasıyor...",genel,negatif
Kullanılmış bilgisayar gönderdiler bana başkası adına şifreli hemde...,genel,negatif
Hiçbir şekilde güvenli değil bu site indirimde aldığım ürün kargolandı ama iptal ettiler...,genel,negatif
"Açılmiş sonradan paketlenmiş bilgisayar gönderdiler, laptop'un üstünde çizik vardı...",ambalaj,negatif
"Açılmiş sonradan paketlenmiş bilgisayar gönderdiler, laptop'un üstünde çizik vardı...",kalite,negatif
kesinlikle uzak durun almayın aldırmayın aynı anda iki işlemi birden yapamıyorsunuz...,genel,negatif
"Bana daha önce kullanılmış, kurulumu yapılmış ikinci el bilgisayar gönderdiler...",genel,negatif
ürünü satıyorlar ürün arızalandıktan sonra kesinlikle ilgi alaka sıfır...,genel,negatif
Arızalı ve kullanılmış geldi iade ettim...,kalite,negatif
Arızalı ve kullanılmış geldi iade ettim...,genel,negatif
Windows 11 kurulu şekilde gelmedi ayrıca görüntü kalitesi ciddi anlamda kötü iade edeceğim,genel,negatif
Windows 11 kurulu şekilde gelmedi ayrıca görüntü kalitesi ciddi anlamda kötü iade edeceğim,ses_goruntu,negatif
bilgisayar çok aşırı yavaş. hiç bişey indirmememe  rağmen.,genel,negatif
Sayı tuşları basılı kalıyordu o yüzden iade...,kalite,negatif
Sayı tuşları basılı kalıyordu o yüzden iade...,fiyat,negatif
yavaş çalışıyor nedenn,genel,negatif
BÖYLE BİR REZİLLİK YOK 1 haftadır ürünü bekliyorum. kargoya verildi olarak gösterip vermediler...,kargo,negatif
"Bu cihazı tavsiye etmiyorum  çok kötü, ram arttıramıyorsunuz ram ana karta sabit olduğu için büyük sorun...",genel,negatif
Çok yavaş hiç tavsiye etmiyorum bişey yapılmıyor,genel,negatif
Ofis kullanımı için aldık açılması 15 dk sürüyor...,genel,negatif
ürün arızalı çıktı,kalite,negatif
Çok yavaş çalışıyor keşke almasaydim,genel,negatif
"Ekranda kusur vardı, çizgiler vardı",ses_goruntu,negatif
Faturam yok,genel,negatif
Bilgisayar gerçekten cok donuyor iade edicem,genel,negatif
128 gb hdd yok pcde sadece ssd takılı aşırı kasıyor...,genel,negatif
15 gündür bende ve aşırı kasıyor youtube dan bile video izleneceyecek kadar...,genel,negatif
yeni kurdum acayip yavaş ve kasıyor almanızı tavsiye etmem...,genel,negatif
faturam gönderilmedi,genel,negatif
Neden fatura iletmiyorsunuz...,genel,negatif
sıfır diye aldığım bilgisayar kullanılmış çıktı...,genel,negatif
Ürün yanlış geldi. Firma çok ilgisiz. 2 kere iade etmeme rağmen...,genel,negatif
